booking_id,passenger_id,flight_id,booking_date,status,booking_group,route,airline,duration_minutes,duration_category,departure_period,days_before_flight,booking_lead_category,amount,payment_missing
B1023,P1248,6F213,2026-02-03 11:37:36.951,PENDING,Active,BLR - BOM,IndiGo,207.0,Medium,Evening,76.0,Medium Term,13057.27,False
B1024,P1510,AI115,2025-06-21 11:37:36.951,PENDING,Active,MAA - BLR,Air India,289.0,Long,Evening,303.0,Long Term,4857.79,False
B1025,P1602,SJ049,2026-03-18 11:37:36.951,PENDING,Active,CCU - DEL,SpiceJet,240.0,Medium,Evening,33.0,Medium Term,36122.96,False
B1026,P1215,AI058,2025-06-27 11:37:36.951,CONFIRMED,Active,BOM - CCU,Air India,98.0,Short,Evening,297.0,Long Term,13204.36,False
B1027,P1972,UK036,2025-07-25 11:37:36.951,CONFIRMED,Active,CCU - BLR,Vistara,264.0,Long,Evening,269.0,Long Term,7503.17,False
B1028,P1601,SJ239,2025-05-25 11:37:36.951,CANCELLED,Cancelled,BOM - CCU,SpiceJet,106.0,Short,Evening,330.0,Long Term,,True
B1029,P1540,6F025,2025-06-06 11:37:36.951,CANCELLED,Cancelled,BLR - BOM,IndiGo,55.0,Short,Evening,318.0,Long Term,,True
B1030,P1946,6F236,2026-03-18 11:37:36.951,CANCELLED,Cancelled,BOM - DEL,IndiGo,199.0,Medium,Evening,33.0,Medium Term,,True
B1031,P1816,AI060,2025-11-16 11:37:36.951,CANCELLED,Cancelled,DEL - HYD,Air India,113.0,Short,Evening,155.0,Long Term,7056.42,False
B1032,P1938,UK021,2025-09-03 11:37:36.951,CANCELLED,Cancelled,HYD - MAA,Vistara,110.0,Short,Evening,229.0,Long Term,,True
B1033,P1987,UK026,2025-05-06 11:37:36.951,,,HYD - MAA,Vistara,126.0,Medium,Evening,349.0,Long Term,17076.39,False
B1034,P1219,SJ179,2025-12-31 11:37:36.951,CONFIRMED,Active,DEL - HYD,SpiceJet,210.0,Medium,Evening,110.0,Long Term,,True
B1035,P1839,6F251,2025-08-21 11:37:36.951,PENDING,Active,DEL - BLR,IndiGo,41.0,Short,Evening,242.0,Long Term,,True
B1036,P1726,SJ149,2025-11-24 11:37:36.951,PENDING,Active,HYD - MAA,SpiceJet,120.0,Short,Evening,147.0,Long Term,5144.89,False
B1037,P1220,AI188,2026-03-20 11:37:36.951,PENDING,Active,CCU - HYD,Air India,166.0,Medium,Evening,31.0,Medium Term,,True
B1038,P1388,SJ093,2026-01-01 11:37:36.951,PENDING,Active,BLR - BOM,SpiceJet,66.0,Short,Evening,109.0,Long Term,,True
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,Active,HYD - CCU,SpiceJet,64.0,Short,Evening,242.0,Long Term,24656.690000000002,False
B1040,P1646,6F099,2025-08-08 11:37:36.951,CONFIRMED,Active,MAA - DEL,IndiGo,35.0,Short,Evening,255.0,Long Term,,True
B1041,P1041,UK176,2025-05-28 11:37:36.951,CONFIRMED,Active,HYD - BLR,Vistara,248.0,Long,Afternoon,327.0,Long Term,23580.18,False
B1042,P1675,UK200,2025-12-02 11:37:36.951,CANCELLED,Cancelled,CCU - DEL,Vistara,111.0,Short,Evening,139.0,Long Term,14402.39,False
B1043,P1872,6F195,2025-11-22 11:37:36.951,CANCELLED,Cancelled,CCU - DEL,IndiGo,55.0,Short,Evening,149.0,Long Term,8291.6,False
B1044,P1282,6F174,2026-04-12 11:37:36.951,PENDING,Active,DEL - HYD,IndiGo,40.0,Short,Evening,8.0,Short Term,1199.88,False
B1045,P1057,SJ214,2026-03-19 11:37:36.951,,,BOM - MAA,SpiceJet,76.0,Short,Evening,32.0,Medium Term,6732.210000000001,False
B1046,P1813,UK059,2025-10-14 11:37:36.951,CONFIRMED,Active,HYD - MAA,Vistara,97.0,Short,Evening,188.0,Long Term,26282.309999999998,False
B1047,P1833,6F151,2025-12-29 11:37:36.951,PENDING,Active,CCU - HYD,IndiGo,140.0,Medium,Evening,112.0,Long Term,,True
B1048,P1536,SJ236,2025-09-19 11:37:36.951,PENDING,Active,MAA - BOM,SpiceJet,239.0,Medium,Afternoon,213.0,Long Term,,True
B1049,P1072,SJ153,2025-07-28 11:37:36.951,,,DEL - CCU,SpiceJet,83.0,Short,Evening,266.0,Long Term,,True
B1050,P1884,AI220,2026-01-15 11:37:36.951,PENDING,Active,BOM - DEL,Air India,98.0,Short,Evening,95.0,Long Term,13350.33,False
B1051,P1922,6F028,2025-07-05 11:37:36.951,CANCELLED,Cancelled,HYD - CCU,IndiGo,120.0,Short,Evening,289.0,Long Term,10875.08,False
B1052,P1128,UK209,2025-12-30 11:37:36.951,CANCELLED,Cancelled,MAA - BLR,Vistara,165.0,Medium,Evening,111.0,Long Term,9827.3,False
B1053,P1598,UK216,2026-04-01 11:37:36.951,PENDING,Active,MAA - HYD,Vistara,194.0,Medium,Afternoon,19.0,Short Term,7702.52,False
B1054,P1841,AI132,2026-04-11 11:37:36.951,CANCELLED,Cancelled,BLR - BOM,Air India,129.0,Medium,Evening,9.0,Short Term,,True
B1055,P1425,6F012,2025-10-14 11:37:36.951,CANCELLED,Cancelled,CCU - HYD,IndiGo,205.0,Medium,Afternoon,188.0,Long Term,,True
B1056,P1947,UK173,2026-03-24 11:37:36.951,CANCELLED,Cancelled,MAA - BLR,Vistara,256.0,Long,Afternoon,27.0,Short Term,3173.87,False
B1057,P1664,SJ047,2025-08-20 11:37:36.951,CANCELLED,Cancelled,HYD - BOM,SpiceJet,37.0,Short,Evening,243.0,Long Term,12211.199999999999,False
B1058,P1693,SJ043,2025-12-07 11:37:36.951,PENDING,Active,MAA - DEL,SpiceJet,129.0,Medium,Afternoon,134.0,Long Term,,True
B1059,P1124,UK140,2026-01-03 11:37:36.951,CONFIRMED,Active,MAA - BLR,Vistara,83.0,Short,Evening,107.0,Long Term,10839.07,False
B1060,P1066,6F086,2025-12-30 11:37:36.951,CONFIRMED,Active,MAA - HYD,IndiGo,37.0,Short,Evening,111.0,Long Term,11681.98,False
B1061,P1005,6F114,2026-04-05 11:37:36.951,CANCELLED,Cancelled,BOM - MAA,IndiGo,50.0,Short,Evening,15.0,Short Term,31579.800000000003,False
B1062,P1636,UK153,2025-06-12 11:37:36.951,CANCELLED,Cancelled,CCU - HYD,Vistara,241.0,Long,Afternoon,312.0,Long Term,,True
B1063,P1313,6F149,2025-05-19 11:37:36.951,CANCELLED,Cancelled,BLR - CCU,IndiGo,165.0,Medium,Afternoon,336.0,Long Term,,True
B1064,P1325,UK145,2025-09-14 11:37:36.951,CONFIRMED,Active,BOM - HYD,Vistara,131.0,Medium,Afternoon,218.0,Long Term,14413.72,False
B1065,P1564,UK010,2026-03-06 11:37:36.951,CANCELLED,Cancelled,MAA - HYD,Vistara,167.0,Medium,Afternoon,45.0,Medium Term,,True
B1066,P1577,SJ003,2025-11-05 11:37:36.951,PENDING,Active,MAA - CCU,SpiceJet,42.0,Short,Evening,166.0,Long Term,,True
B1067,P1825,SJ160,2025-07-23 11:37:36.951,PENDING,Active,MAA - BLR,SpiceJet,45.0,Short,Evening,271.0,Long Term,17433.34,False
B1068,P1505,UK224,2025-11-22 11:37:36.951,PENDING,Active,CCU - MAA,Vistara,239.0,Medium,Afternoon,149.0,Long Term,5274.94,False
B1069,P1081,UK152,2025-08-02 11:37:36.951,CONFIRMED,Active,BOM - CCU,Vistara,169.0,Medium,Afternoon,261.0,Long Term,14992.95,False
B1070,P1598,SJ034,2025-09-22 11:37:36.951,CANCELLED,Cancelled,MAA - BOM,SpiceJet,291.0,Long,Afternoon,210.0,Long Term,5631.13,False
B1071,P1001,UK215,2025-12-21 11:37:36.951,CANCELLED,Cancelled,BOM - DEL,Vistara,132.0,Medium,Afternoon,120.0,Long Term,,True
B1072,P1203,UK089,2025-08-10 11:37:36.951,CANCELLED,Cancelled,BOM - HYD,Vistara,252.0,Long,Afternoon,253.0,Long Term,,True
B1073,P1661,6F180,2025-12-04 11:37:36.951,CONFIRMED,Active,MAA - BLR,IndiGo,264.0,Long,Afternoon,137.0,Long Term,,True
B1074,P1804,6F188,2025-09-25 11:37:36.951,CONFIRMED,Active,DEL - HYD,IndiGo,282.0,Long,Afternoon,207.0,Long Term,,True
B1075,P1403,UK131,2026-01-03 11:37:36.951,CONFIRMED,Active,BOM - DEL,Vistara,246.0,Long,Afternoon,107.0,Long Term,,True
B1076,P1102,UK055,2025-05-04 11:37:36.951,CONFIRMED,Active,HYD - DEL,Vistara,163.0,Medium,Afternoon,351.0,Long Term,8247.5,False
B1077,P1535,UK181,2025-05-03 11:37:36.951,PENDING,Active,MAA - DEL,Vistara,162.0,Medium,Afternoon,352.0,Long Term,11261.699999999999,False
B1078,P1367,6F077,2025-09-21 11:37:36.951,CONFIRMED,Active,CCU - DEL,IndiGo,258.0,Long,Afternoon,211.0,Long Term,,True
B1079,P1211,SJ085,2025-06-03 11:37:36.951,CONFIRMED,Active,BLR - MAA,SpiceJet,270.0,Long,Afternoon,321.0,Long Term,,True
B1080,P1576,SJ023,2025-06-05 11:37:36.951,CONFIRMED,Active,HYD - MAA,SpiceJet,102.0,Short,Afternoon,319.0,Long Term,21169.42,False
B1081,P1960,SJ202,2025-11-13 11:37:36.951,CANCELLED,Cancelled,CCU - HYD,SpiceJet,107.0,Short,Afternoon,158.0,Long Term,,True
B1082,P1208,SJ150,2025-09-09 11:37:36.951,CANCELLED,Cancelled,BOM - HYD,SpiceJet,210.0,Medium,Afternoon,223.0,Long Term,,True
B1083,P1762,SJ116,2025-05-12 11:37:36.951,CANCELLED,Cancelled,HYD - CCU,SpiceJet,89.0,Short,Afternoon,343.0,Long Term,6777.38,False
B1084,P1896,6F270,2025-06-14 11:37:36.951,PENDING,Active,HYD - MAA,IndiGo,48.0,Short,Afternoon,310.0,Long Term,,True
B1085,P1116,UK150,2026-03-24 11:37:36.951,PENDING,Active,DEL - CCU,Vistara,30.0,Short,Afternoon,27.0,Short Term,11410.8,False
B1086,P1627,SJ237,2026-02-16 11:37:36.951,CONFIRMED,Active,BOM - CCU,SpiceJet,148.0,Medium,Afternoon,63.0,Medium Term,4873.96,False
B1087,P1748,AI221,2025-05-08 11:37:36.951,CANCELLED,Cancelled,MAA - HYD,Air India,156.0,Medium,Afternoon,347.0,Long Term,3191.92,False
B1088,P1477,SJ081,2026-03-25 11:37:36.951,PENDING,Active,BOM - BLR,SpiceJet,109.0,Short,Afternoon,26.0,Short Term,7375.1,False
B1089,P1104,UK189,2025-09-03 11:37:36.951,CANCELLED,Cancelled,BLR - MAA,Vistara,224.0,Medium,Afternoon,229.0,Long Term,,True
B1090,P1494,SJ068,2025-05-16 11:37:36.951,PENDING,Active,BLR - BOM,SpiceJet,124.0,Medium,Afternoon,339.0,Long Term,,True
B1091,P1770,6F043,2025-08-18 11:37:36.951,PENDING,Active,BOM - HYD,IndiGo,86.0,Short,Afternoon,245.0,Long Term,,True
B1092,P1045,UK187,2026-03-18 11:37:36.951,CONFIRMED,Active,BLR - BOM,Vistara,110.0,Short,Afternoon,33.0,Medium Term,15898.93,False
B1093,P1822,UK074,2025-05-11 11:37:36.951,CONFIRMED,Active,BOM - DEL,Vistara,117.0,Short,Afternoon,344.0,Long Term,,True
B1094,P1330,UK004,2026-01-07 11:37:36.951,PENDING,Active,BOM - CCU,Vistara,34.0,Short,Afternoon,103.0,Long Term,17560.29,False
B1095,P1215,6F194,2025-07-30 11:37:36.951,CONFIRMED,Active,BOM - CCU,IndiGo,118.0,Short,Afternoon,264.0,Long Term,,True
B1096,P1981,UK068,2026-01-03 11:37:36.951,PENDING,Active,BLR - MAA,Vistara,101.0,Short,Afternoon,107.0,Long Term,18163.89,False
B1097,P1959,6F017,2025-08-26 11:37:36.951,,,CCU - BOM,IndiGo,161.0,Medium,Afternoon,237.0,Long Term,,True
B1098,P1491,6F245,2025-10-15 11:37:36.951,,,CCU - BOM,IndiGo,161.0,Medium,Afternoon,187.0,Long Term,10455.66,False
B1099,P1812,6F254,2025-12-07 11:37:36.951,CONFIRMED,Active,MAA - BLR,IndiGo,215.0,Medium,Afternoon,134.0,Long Term,,True
B1100,P1921,UK077,2026-03-05 11:37:36.951,CONFIRMED,Active,HYD - BOM,Vistara,98.0,Short,Afternoon,46.0,Medium Term,,True
B1101,P1844,AI029,2025-07-19 11:37:36.951,CONFIRMED,Active,MAA - DEL,Air India,264.0,Long,Afternoon,275.0,Long Term,2214.47,False
B1102,P1448,SJ196,2025-10-06 11:37:36.951,,,DEL - HYD,SpiceJet,166.0,Medium,Afternoon,196.0,Long Term,24626.690000000002,False
B1103,P1535,AI242,2025-08-08 11:37:36.951,CANCELLED,Cancelled,BLR - CCU,Air India,62.0,Short,Afternoon,255.0,Long Term,14062.55,False
B1104,P1510,AI242,2025-09-12 11:37:36.951,CANCELLED,Cancelled,BLR - CCU,Air India,62.0,Short,Afternoon,220.0,Long Term,,True
B1105,P1457,SJ044,2025-09-11 11:37:36.951,CONFIRMED,Active,DEL - CCU,SpiceJet,157.0,Medium,Afternoon,221.0,Long Term,14294.21,False
B1106,P1546,UK063,2025-09-01 11:37:36.951,CONFIRMED,Active,DEL - BOM,Vistara,72.0,Short,Afternoon,231.0,Long Term,,True
B1107,P1535,AI056,2025-05-19 11:37:36.951,CONFIRMED,Active,DEL - MAA,Air India,235.0,Medium,Afternoon,336.0,Long Term,,True
B1108,P1539,UK207,2025-10-11 11:37:36.951,CANCELLED,Cancelled,MAA - CCU,Vistara,75.0,Short,Afternoon,191.0,Long Term,,True
B1109,P1483,UK166,2025-12-03 11:37:36.951,CANCELLED,Cancelled,HYD - MAA,Vistara,293.0,Long,Morning,138.0,Long Term,13080.08,False
B1110,P1975,6F261,2025-12-17 11:37:36.951,PENDING,Active,CCU - DEL,IndiGo,178.0,Medium,Afternoon,124.0,Long Term,,True
B1111,P1999,UK134,2025-12-25 11:37:36.951,CANCELLED,Cancelled,HYD - CCU,Vistara,222.0,Medium,Afternoon,116.0,Long Term,,True
B1112,P1015,6F152,2025-10-02 11:37:36.951,PENDING,Active,CCU - DEL,IndiGo,124.0,Medium,Afternoon,200.0,Long Term,20662.78,False
B1113,P1570,SJ089,2025-11-23 11:37:36.951,CONFIRMED,Active,HYD - CCU,SpiceJet,273.0,Long,Morning,148.0,Long Term,9457.62,False
B1114,P1976,6F123,2025-09-26 11:37:36.951,CANCELLED,Cancelled,DEL - HYD,IndiGo,106.0,Short,Afternoon,206.0,Long Term,8187.33,False
B1115,P1242,AI025,2025-08-23 11:37:36.951,CONFIRMED,Active,HYD - DEL,Air India,145.0,Medium,Afternoon,240.0,Long Term,8185.02,False
B1116,P1949,6F030,2025-12-05 11:37:36.951,CONFIRMED,Active,BOM - DEL,IndiGo,170.0,Medium,Afternoon,136.0,Long Term,9883.49,False
B1117,P1206,SJ222,2025-09-02 11:37:36.951,CONFIRMED,Active,BOM - DEL,SpiceJet,174.0,Medium,Afternoon,230.0,Long Term,24642.71,False
B1118,P1911,UK109,2026-04-03 11:37:36.951,CONFIRMED,Active,BLR - BOM,Vistara,60.0,Short,Afternoon,17.0,Short Term,,True
B1119,P1270,SJ117,2025-11-25 11:37:36.951,CANCELLED,Cancelled,MAA - BLR,SpiceJet,236.0,Medium,Afternoon,146.0,Long Term,22268.71,False
B1120,P1760,SJ142,2025-08-12 11:37:36.951,CONFIRMED,Active,CCU - BOM,SpiceJet,102.0,Short,Afternoon,251.0,Long Term,2571.48,False
B1121,P1993,SJ142,2025-06-01 11:37:36.951,PENDING,Active,CCU - BOM,SpiceJet,102.0,Short,Afternoon,323.0,Long Term,,True
B1122,P1778,AI030,2025-05-02 11:37:36.951,CANCELLED,Cancelled,CCU - HYD,Air India,199.0,Medium,Afternoon,353.0,Long Term,,True
B1123,P1704,6F097,2025-09-23 11:37:36.951,CONFIRMED,Active,BLR - BOM,IndiGo,77.0,Short,Afternoon,209.0,Long Term,14525.48,False
B1124,P1846,6F129,2025-05-23 11:37:36.951,CANCELLED,Cancelled,DEL - CCU,IndiGo,139.0,Medium,Afternoon,332.0,Long Term,15753.68,False
B1125,P1729,6F181,2026-01-15 11:37:36.951,PENDING,Active,BOM - MAA,IndiGo,108.0,Short,Afternoon,95.0,Long Term,,True
B1126,P1114,AI072,2025-10-20 11:37:36.951,CONFIRMED,Active,BLR - CCU,Air India,58.0,Short,Afternoon,182.0,Long Term,,True
B1127,P1579,SJ154,2025-06-29 11:37:36.951,PENDING,Active,BLR - HYD,SpiceJet,99.0,Short,Afternoon,295.0,Long Term,,True
B1128,P1298,AI031,2026-04-08 11:37:36.951,CONFIRMED,Active,DEL - MAA,Air India,186.0,Medium,Afternoon,12.0,Short Term,,True
B1129,P1836,AI031,2025-09-18 11:37:36.951,PENDING,Active,DEL - MAA,Air India,186.0,Medium,Afternoon,214.0,Long Term,12008.51,False
B1130,P1482,6F158,2025-12-26 11:37:36.951,CONFIRMED,Active,CCU - MAA,IndiGo,246.0,Long,Morning,115.0,Long Term,,True
B1131,P1396,6F184,2025-06-16 11:37:36.951,CANCELLED,Cancelled,MAA - BOM,IndiGo,179.0,Medium,Afternoon,308.0,Long Term,3592.91,False
B1132,P1393,UK141,2025-06-20 11:37:36.951,CONFIRMED,Active,HYD - MAA,Vistara,141.0,Medium,Afternoon,304.0,Long Term,4677.7,False
B1133,P1074,6F168,2025-12-29 11:37:36.951,CANCELLED,Cancelled,HYD - DEL,IndiGo,220.0,Medium,Morning,112.0,Long Term,14200.43,False
B1134,P1977,6F051,2025-07-28 11:37:36.951,CONFIRMED,Active,BLR - BOM,IndiGo,120.0,Short,Afternoon,266.0,Long Term,,True
B1135,P1481,6F047,2025-12-02 11:37:36.951,CONFIRMED,Active,MAA - DEL,IndiGo,125.0,Medium,Afternoon,139.0,Long Term,10501.09,False
B1136,P1102,UK156,2025-10-26 11:37:36.951,PENDING,Active,MAA - BLR,Vistara,244.0,Long,Morning,176.0,Long Term,2857.01,False
B1137,P1296,AI094,2025-09-01 11:37:36.951,PENDING,Active,DEL - BLR,Air India,60.0,Short,Afternoon,231.0,Long Term,10092.76,False
B1138,P1177,AI038,2025-07-14 11:37:36.951,PENDING,Active,HYD - MAA,Air India,279.0,Long,Morning,280.0,Long Term,,True
B1139,P1214,6F255,2026-01-19 11:37:36.951,CONFIRMED,Active,DEL - BOM,IndiGo,214.0,Medium,Morning,91.0,Long Term,6016.05,False
B1140,P1966,SJ025,2026-01-23 11:37:36.951,CONFIRMED,Active,BOM - CCU,SpiceJet,207.0,Medium,Morning,87.0,Medium Term,8447.38,False
B1141,P1314,SJ185,2025-10-28 11:37:36.951,CONFIRMED,Active,BOM - CCU,SpiceJet,60.0,Short,Afternoon,174.0,Long Term,,True
B1142,P1038,6F259,2026-01-21 11:37:36.951,CANCELLED,Cancelled,BOM - DEL,IndiGo,71.0,Short,Afternoon,89.0,Medium Term,4506.21,False
B1143,P1258,6F073,2026-04-07 11:37:36.951,CANCELLED,Cancelled,DEL - CCU,IndiGo,220.0,Medium,Morning,13.0,Short Term,6360.73,False
B1144,P1715,AI091,2025-09-26 11:37:36.951,CONFIRMED,Active,CCU - MAA,Air India,263.0,Long,Morning,206.0,Long Term,,True
B1145,P1006,6F191,2025-08-23 11:37:36.951,PENDING,Active,BLR - DEL,IndiGo,30.0,Short,Afternoon,240.0,Long Term,,True
B1146,P1048,UK228,2025-08-30 11:37:36.951,PENDING,Active,DEL - MAA,Vistara,190.0,Medium,Morning,233.0,Long Term,,True
B1147,P1537,6F146,2026-03-25 11:37:36.951,PENDING,Active,HYD - MAA,IndiGo,76.0,Short,Afternoon,26.0,Short Term,,True
B1148,P1160,6F068,2025-10-13 11:37:36.951,CONFIRMED,Active,BLR - HYD,IndiGo,229.0,Medium,Morning,189.0,Long Term,,True
B1149,P1868,SJ218,2026-01-08 11:37:36.951,PENDING,Active,DEL - HYD,SpiceJet,185.0,Medium,Morning,102.0,Long Term,12393.75,False
B1150,P1175,UK083,2025-09-25 11:37:36.951,CONFIRMED,Active,DEL - HYD,Vistara,49.0,Short,Afternoon,207.0,Long Term,12535.73,False
B1151,P1590,SJ007,2026-01-18 11:37:36.951,CANCELLED,Cancelled,BOM - CCU,SpiceJet,290.0,Long,Morning,92.0,Long Term,,True
B1152,P1001,AI077,2025-08-14 11:37:36.951,PENDING,Active,CCU - HYD,Air India,66.0,Short,Afternoon,249.0,Long Term,,True
B1153,P1894,UK017,2025-12-20 11:37:36.951,CANCELLED,Cancelled,BLR - HYD,Vistara,95.0,Short,Afternoon,121.0,Long Term,5774.24,False
B1154,P1454,6F229,2026-02-17 11:37:36.951,PENDING,Active,MAA - DEL,IndiGo,80.0,Short,Afternoon,62.0,Medium Term,9979.51,False
B1155,P1927,6F074,2025-10-08 11:37:36.951,CONFIRMED,Active,HYD - BOM,IndiGo,200.0,Medium,Morning,194.0,Long Term,,True
B1156,P1643,SJ088,2026-03-25 11:37:36.951,CONFIRMED,Active,CCU - MAA,SpiceJet,32.0,Short,Afternoon,26.0,Short Term,3413.47,False
B1157,P1275,SJ167,2025-06-28 11:37:36.951,CONFIRMED,Active,MAA - CCU,SpiceJet,54.0,Short,Afternoon,296.0,Long Term,7902.25,False
B1158,P1497,6F234,2025-07-20 11:37:36.951,CONFIRMED,Active,BOM - DEL,IndiGo,171.0,Medium,Morning,274.0,Long Term,14265.47,False
B1159,P1628,UK071,2025-12-10 11:37:36.951,PENDING,Active,DEL - HYD,Vistara,196.0,Medium,Morning,131.0,Long Term,16962.75,False
B1160,P1675,AI178,2025-11-21 11:37:36.951,CANCELLED,Cancelled,CCU - BLR,Air India,59.0,Short,Afternoon,150.0,Long Term,5267.38,False
B1161,P1799,UK104,2025-11-14 11:37:36.951,CONFIRMED,Active,DEL - BOM,Vistara,82.0,Short,Morning,157.0,Long Term,24640.24,False
B1162,P1027,AI146,2025-04-22 11:37:36.951,,,BLR - DEL,Air India,186.0,Medium,Morning,363.0,Long Term,,True
B1163,P1332,SJ235,2025-11-10 11:37:36.951,CANCELLED,Cancelled,BOM - DEL,SpiceJet,228.0,Medium,Morning,161.0,Long Term,,True
B1164,P1000,6F209,2025-04-24 11:37:36.951,CONFIRMED,Active,MAA - CCU,IndiGo,300.0,Long,Morning,361.0,Long Term,2684.77,False
B1165,P1187,AI129,2025-08-20 11:37:36.951,CANCELLED,Cancelled,BOM - CCU,Air India,189.0,Medium,Morning,243.0,Long Term,43097.990000000005,False
B1166,P1055,SJ141,2026-01-23 11:37:36.951,CONFIRMED,Active,CCU - DEL,SpiceJet,217.0,Medium,Morning,87.0,Medium Term,5530.81,False
B1167,P1546,SJ018,2026-02-02 11:37:36.951,CANCELLED,Cancelled,BOM - CCU,SpiceJet,153.0,Medium,Morning,77.0,Medium Term,27299.79,False
B1168,P1111,UK120,2025-10-14 11:37:36.951,CANCELLED,Cancelled,HYD - DEL,Vistara,251.0,Long,Morning,188.0,Long Term,5435.83,False
B1169,P1797,AI078,2025-11-15 11:37:36.951,CONFIRMED,Active,DEL - BOM,Air India,270.0,Long,Morning,156.0,Long Term,3795.6,False
B1170,P1309,AI079,2025-09-14 11:37:36.951,PENDING,Active,CCU - BLR,Air India,135.0,Medium,Morning,218.0,Long Term,,True
B1171,P1035,UK087,2025-09-19 11:37:36.951,CANCELLED,Cancelled,HYD - MAA,Vistara,208.0,Medium,Morning,213.0,Long Term,23311.04,False
B1172,P1438,UK133,2026-01-17 11:37:36.951,CONFIRMED,Active,BOM - DEL,Vistara,192.0,Medium,Morning,93.0,Long Term,25477.4,False
B1173,P1728,AI222,2025-06-01 11:37:36.951,CANCELLED,Cancelled,BOM - DEL,Air India,64.0,Short,Morning,323.0,Long Term,,True
B1174,P1591,6F049,2026-04-12 11:37:36.951,CANCELLED,Cancelled,HYD - DEL,IndiGo,193.0,Medium,Morning,8.0,Short Term,,True
B1175,P1825,6F105,2026-01-29 11:37:36.951,PENDING,Active,BLR - BOM,IndiGo,72.0,Short,Morning,81.0,Medium Term,10654.9,False
B1176,P1594,SJ226,2025-04-17 11:37:36.951,CANCELLED,Cancelled,HYD - BOM,SpiceJet,247.0,Long,Morning,368.0,Long Term,,True
