booking_id,amount
B1397,3065.33
B1398,7148.95
B1400,3063.78
B1401,20849.53
B1402,16058.67
B1404,7473.06
B1406,21722.62
B1408,7805.42
B1409,1095.0
B1411,13409.029999999999
B1412,10616.41
B1414,6182.07
B1417,7252.05
B1418,12326.46
B1419,4937.75
B1420,7161.79
B1422,4826.6
B1426,
B1429,16937.88
B1431,22261.949999999997
B1433,15968.93
B1434,5989.29
B1435,8589.93
B1438,7670.85
B1439,7292.76
B1442,11779.89
B1443,
B1445,9862.4
B1446,7709.959999999999
B1447,18438.66
B1451,10311.86
B1453,5268.18
B1455,27634.5
B1457,5769.17
B1458,8073.17
B1459,19085.7
B1461,30261.46
B1462,6497.79
B1463,6844.58
B1464,4535.96
B1467,13307.54
B1468,25336.54
B1474,32760.32
B1475,21399.98
B1477,17403.75
B1478,2928.68
B1479,16478.5
B1480,3112.82
B1482,17749.28
B1483,10562.26
B1486,20297.600000000002
B1488,22623.03
B1490,1217.88
B1491,6534.99
B1495,17491.120000000003
B1496,2901.65
B1500,1303.07
B1501,27890.44
B1502,17966.760000000002
B1504,32259.760000000002
B1505,7472.98
B1507,4865.21
B1508,14679.26
B1510,3179.45
B1511,12346.57
B1512,5747.83
B1513,22716.67
B1514,
B1516,3242.75
B1517,
B1519,14857.830000000002
B1520,14340.74
B1521,10629.67
B1523,10733.84
B1524,9831.83
B1525,7869.06
B1526,12889.82
B1527,11891.78
B1530,29065.67
B1531,23911.21
B1532,24295.6
B1534,12347.23
B1535,19520.85
B1536,6548.99
B1537,9202.57
B1539,17509.78
B1540,3640.69
B1541,12031.17
B1543,3207.85
B1544,12003.060000000001
B1545,17736.33
B1552,12589.6
B1553,1883.33
B1555,13344.12
B1557,17708.739999999998
B1558,15597.73
B1559,3622.91
B1561,11507.310000000001
B1562,6572.09
B1564,3514.52
B1565,7243.49
B1566,26394.47
B1567,10982.24
B1568,
B1570,15054.77
B1572,13849.86
B1573,7629.97
B1574,13905.05
B1575,12516.91
B1576,
B1578,4097.6900000000005
B1579,9444.1
B1580,26625.059999999998
B1581,9514.99
B1582,13552.0
B1584,26466.88
B1585,23517.699999999997
B1587,11740.35
B1588,12810.22
B1589,29432.760000000002
B1590,1015.84
B1591,16833.8
B1594,1448.88
B1595,24869.85
B1596,18020.9
B1597,19192.260000000002
B1598,15978.23
B1600,24083.25
B1602,4028.21
B1605,
B1606,21087.41
B1607,13086.08
B1610,5809.44
B1611,22397.64
B1613,16309.3
B1614,8965.77
B1615,13670.64
B1617,12237.51
B1618,6904.57
B1619,33652.61
B1620,33808.97
B1621,11805.25
B1622,36638.7
B1623,37128.79
B1626,7859.04
B1627,23952.61
B1628,1971.53
B1630,11475.88
B1631,17514.41
B1632,11397.25
B1636,14700.1
B1637,25470.66
B1639,6069.3
B1641,14953.42
B1642,6919.99
B1644,10406.49
B1645,2308.55
B1646,22654.88
B1647,17320.63
B1648,3484.04
B1649,28108.05
B1651,6941.55
B1652,21520.53
B1653,10350.94
B1654,12116.85
B1656,9174.46
B1657,11326.44
B1660,5033.75
B1661,20979.510000000002
B1662,9168.1
B1663,66885.47
B1665,13434.66
B1666,4184.87
B1672,6895.9
B1676,26552.82
B1677,19599.18
B1678,3831.88
B1681,26057.93
B1682,2916.86
B1683,19349.760000000002
B1685,12700.44
B1686,1293.05
B1688,10945.95
B1689,8030.27
B1690,7675.73
B1691,10442.06
B1694,7153.610000000001
B1695,5969.93
B1698,8023.98
B1699,23144.93
B1700,6028.27
B1702,13329.36
B1703,11995.2
B1704,13993.49
B1705,20858.789999999997
B1710,12059.65
B1714,5064.12
B1717,2408.2200000000003
B1718,18312.78
B1719,5781.1
B1720,5194.3
B1722,
B1724,10484.53
B1725,
B1726,10313.45
B1728,7592.89
B1729,2726.28
B1730,
B1731,1355.89
B1732,7405.96
B1733,10832.74
B1734,2972.66
B1735,10012.48
B1736,8590.58
B1737,12049.41
B1738,26003.14
B1739,8263.32
B1741,4483.43
B1743,4062.36
B1744,9225.17
B1745,10889.16
B1748,13170.94
B1751,14391.99
B1753,4016.57
B1754,12013.34
B1755,4760.39
B1756,
B1757,1608.39
B1758,8260.94
B1759,10926.0
B1760,12133.03
B1761,35672.39
B1762,13897.13
B1763,
B1764,10528.45
B1765,23925.48
B1767,10462.21
B1768,2835.7
B1769,2465.29
B1771,6761.89
B1773,11699.42
B1775,13185.54
B1776,16692.14
B1777,9927.3
B1779,8876.97
B1782,4755.95
B1783,8201.65
B1784,1577.5
B1785,2489.15
B1786,14801.3
B1787,13330.68
B1789,11758.27
B1790,4971.8
B1793,12515.25
B1795,11714.65
B1798,14793.78
B1800,4478.56
B1802,2072.55
B1803,5663.2
B1804,9496.04
B1805,
B1806,14488.78
B1807,1759.8
B1809,2114.98
B1811,9625.29
B1812,1736.99
B1814,9940.19
B1815,6355.84
B1816,4762.94
B1817,19018.62
B1818,4317.72
B1820,22474.87
B1821,5390.05
B1822,7545.61
B1823,7854.23
B1824,10599.9
B1825,5950.28
B1826,5128.12
B1827,26463.98
B1828,9418.44
B1829,4847.06
B1830,12651.33
B1831,25995.510000000002
B1832,11197.41
B1833,5872.19
B1834,7570.53
B1837,39342.91
B1839,16796.17
B1840,7085.2
B1842,9813.82
B1843,5648.049999999999
B1844,7078.61
B1845,3147.85
B1846,8100.01
B1847,10999.02
B1848,6682.0
B1850,22212.88
B1852,2491.83
B1853,8948.88
B1854,33343.83
B1855,21909.6
B1856,25660.08
B1857,17650.920000000002
B1860,9531.5
B1861,9044.04
B1863,22928.67
B1864,10081.04
B1865,11740.51
B1866,4987.99
B1867,8158.17
B1869,21553.27
B1872,14817.12
B1873,32289.57
B1874,24444.489999999998
B1875,
B1876,11290.32
B1878,14778.71
B1879,4682.98
B1880,11737.0
B1883,7691.33
B1885,9992.33
B1887,9312.51
B1888,14913.74
B1890,13732.45
B1891,4194.57
B1895,54031.62
B1896,
B1897,16995.309999999998
B1898,5718.04
B1899,3146.15
B1900,1212.98
B1901,10787.49
B1904,5769.34
B1906,11037.65
B1907,5451.44
B1908,10746.849999999999
B1910,21554.05
B1912,6279.57
B1913,15295.38
B1914,5079.38
B1915,1162.01
B1916,3156.86
B1918,4095.5699999999997
B1921,9627.04
B1922,19566.92
B1923,8467.53
B1924,4739.01
B1925,29535.22
B1928,6983.66
B1930,1625.9
B1931,10011.51
B1932,8636.39
B1934,10978.81
B1936,11286.73
B1937,6825.66
B1938,12242.79
B1939,41153.630000000005
B1940,18574.85
B1941,1551.73
B1942,1755.58
B1943,14420.98
B1944,12698.08
B1946,11196.94
B1947,2186.2
B1948,14449.69
B1949,14360.11
B1951,12831.14
B1952,10237.24
B1953,12741.76
B1954,14524.79
B1957,4851.79
B1958,2727.84
B1959,17094.079999999998
B1960,14657.97
B1962,30993.239999999998
B1966,34300.32
B1967,12518.31
B1968,14600.78
B1969,13598.0
B1970,4558.49
B1972,5458.57
B1975,7791.01
B1976,8576.26
B1978,9450.85
B1980,12102.14
B1981,12166.27
B1983,9117.5
B1984,19611.190000000002
B1987,8733.92
B1988,13945.28
B1990,14394.7
B1992,14003.060000000001
B1996,10358.84
B1997,
B1998,18385.6
B1999,2806.06
